Branch,Param,SE,Parent,Child,Parent_ID,Child_ID
198..199,0.002061,0.000311,198,199,,
199..200,0.001786,0.000296,199,200,,
200..201,0.001786,0.000573,200,201,,
201..202,0.001752,0.000540,201,202,,
202..203,0.001752,0.879336,202,203,,
203..204,0.001752,0.000635,203,204,,
204..205,0.001752,0.000283,204,205,,
205..206,0.001731,0.000287,205,206,,
206..207,0.001580,0.003544,206,207,,
207..1,0.001275,0.000341,207,1,,111-1907-4981
207..208,0.000957,0.000261,207,208,,
208..209,0.000319,0.000161,208,209,,
209..156,0.001580,0.000244,209,156,,111-1122-3363
209..157,0.001473,0.000226,209,157,,111-1936-3290
208..158,0.001300,0.000212,208,158,,AP010722
206..210,0.000942,0.000191,206,210,,
210..211,0.000706,0.000169,210,211,,
211..212,0.000438,0.000131,211,212,,
212..213,0.000774,0.000300,212,213,,
213..214,0.000774,0.000223,213,214,,
214..215,0.001679,0.000279,214,215,,
215..91,0.001679,0.001194,215,91,,KF146244
215..92,0.001679,0.000124,215,92,,JQ245724
214..93,0.001194,0.000483,214,93,,DQ112955
213..154,0.001194,0.808360,213,154,,JQ701924
212..155,0.001194,2.204938,212,155,,DQ301794
211..216,0.001194,0.000483,211,216,,
216..193,0.001194,0.000285,216,193,,EU439939
216..217,0.001127,0.000271,216,217,,
217..194,0.000573,0.000245,217,194,,JQ704754
217..195,0.000573,0.373327,217,195,,JX508853
210..192,0.000573,0.000298,210,192,,MN595741
205..218,0.000573,0.000198,205,218,,
218..219,0.000449,0.000107,218,219,,
219..220,0.000415,0.000103,219,220,,
220..221,0.001100,0.000322,220,221,,
221..222,0.001100,0.000260,221,222,,
222..223,0.000781,0.000238,222,223,,
223..224,0.000781,0.000244,223,224,,
224..225,0.000101,0.000072,224,225,,
225..226,0.001194,0.000431,225,226,,
226..227,0.000896,0.000355,226,227,,
227..228,0.000655,0.000221,227,228,,
228..229,0.000655,0.546840,228,229,,
229..19,0.000655,0.462953,229,19,,AY519496
229..22,0.000655,0.000336,229,22,,JQ705676
228..230,0.000502,0.000175,228,230,,
230..20,0.000655,0.000211,230,20,,JX413039
230..231,0.000380,0.000135,230,231,,
231..232,0.000241,0.000111,231,232,,
232..23,0.000655,0.000369,232,23,,HM036567
232..24,0.001194,0.000314,232,24,,FJ383631
231..25,0.001194,0.000330,231,25,,EU482313
227..21,0.001105,0.000235,227,21,,DQ282447
226..139,0.000459,0.000140,226,139,,MF055751
225..143,0.000573,0.000179,225,143,,FJ383542
224..233,0.001114,0.000210,224,233,,
233..234,0.000896,0.000190,233,234,,
234..235,0.000235,0.000115,234,235,,
235..236,0.000156,0.000101,235,236,,
236..237,0.000156,0.000099,236,237,,
237..42,0.001651,0.000123,237,42,,111-1903-2646
237..43,0.001587,0.000120,237,43,,AP008909
236..45,0.001421,0.000115,236,45,,111-1936-0787
235..44,0.000478,0.000098,235,44,,111-1926-1381
234..144,0.000364,0.000092,234,144,,DQ112875
233..138,0.001248,0.000119,233,138,,EF060333
223..238,0.000173,0.000075,223,238,,
238..239,0.001262,0.000135,238,239,,
239..240,0.000796,0.000145,239,240,,
240..241,0.000735,0.000146,240,241,,
241..242,0.000735,0.000210,241,242,,
242..243,0.001679,0.000347,242,243,,
243..26,0.001426,0.000316,243,26,,111-1923-7416
243..244,0.000687,0.000199,243,244,,
244..31,0.001305,0.000219,244,31,,HQ012262
244..32,0.000864,0.000204,244,32,,111-1937-0434
242..245,0.001176,0.000295,242,245,,
245..246,0.000680,0.000188,245,246,,
246..27,0.000301,0.000117,246,27,,AP008287
246..247,0.001176,0.000325,246,247,,
247..28,0.000682,0.000259,247,28,,AP013251
247..29,0.000682,0.000394,247,29,,111-1907-1393
245..35,0.000407,0.000441,245,35,,FJ383234
241..248,0.000407,0.000106,241,248,,
248..33,0.000276,0.000095,248,33,,111-1914-6930
248..34,0.000173,0.000075,248,34,,FJ168712
240..30,0.000227,0.000124,240,30,,AP008628
239..36,0.000423,0.000190,239,36,,111-1921-0792
238..249,0.000081,0.000080,238,249,,
249..142,0.001378,0.000992,249,142,,EU443506
249..146,0.000960,0.000370,249,146,,111-1929-8585
222..250,0.000960,0.505006,222,250,,
250..251,0.000960,0.000367,250,251,,
251..137,0.000640,0.000190,251,137,,PP654541
251..252,0.000488,0.000310,251,252,,
252..140,0.000402,0.000297,252,140,,DQ372879
252..141,0.000402,-1.000000,252,141,,KJ154481
250..253,0.000402,-1.000000,250,253,,
253..152,0.000402,-1.000000,253,152,,111-1908-9107
253..153,0.000402,0.831702,253,153,,FJ383311
221..254,0.000402,0.000118,221,254,,
254..145,0.000250,0.000112,254,145,,AP013148
254..255,0.000330,0.000081,254,255,,
255..256,0.000290,0.000078,255,256,,
256..257,0.000402,0.000297,256,257,,
257..258,0.000206,0.000118,257,258,,
258..147,0.000402,30959.531306,258,147,,111-1906-2575
258..148,0.000402,1.396750,258,148,,111-1917-2649
257..150,0.000402,1.312150,257,150,,111-1922-8506
256..149,0.000206,0.000128,256,149,,111-1920-7815
255..151,0.000177,0.000234,255,151,,111-1922-3495
220..259,0.000177,2.474837,220,259,,
259..260,0.000163,74229.263003,259,260,,
260..261,0.000163,2.093988,260,261,,
261..262,0.000159,72564.838375,261,262,,
262..120,0.000159,1.085420,262,120,,KC346074
262..263,0.000159,0.000150,262,263,,
263..121,0.000159,0.000189,263,121,,KC345900
263..122,0.000159,0.001045,263,122,,KC345781
261..264,0.000159,0.001151,261,264,,
264..265,0.000163,0.000228,264,265,,
265..123,0.000118,0.000059,265,123,,EU092852
265..124,0.000031,0.000030,265,124,,EU092737
264..125,0.000177,0.000399,264,125,,EU273490
260..266,0.000216,1.311874,260,266,,
266..267,0.000216,0.000253,266,267,,
267..126,0.000082,0.000057,267,126,,DQ304933
267..268,0.000402,0.000572,267,268,,
268..269,0.000343,1.104077,268,269,,
269..127,0.000343,0.000308,269,127,,JQ412577
269..129,0.000343,0.000324,269,129,,EU092671
268..128,0.000140,0.000102,268,128,,JX303838
266..130,0.000106,0.000123,266,130,,EU092813
259..136,0.000402,0.000142,259,136,,EF184627
219..270,0.000103,0.000074,219,270,,
270..271,0.000416,0.000421,270,271,,
271..133,0.000416,0.000148,271,133,,HM771135
271..135,0.000244,0.000096,271,135,,KM986620
270..134,0.000197,0.000086,270,134,,KM986577
218..272,0.001168,0.000489,218,272,,
272..131,0.001168,0.476810,272,131,,JN214459
272..132,0.001167,0.000250,272,132,,EU092830
204..273,0.001107,0.000237,204,273,,
273..274,0.001107,0.000235,273,274,,
274..16,0.000666,0.000246,274,16,,AY950286
274..17,0.000666,0.000167,274,17,,DQ372869
273..18,0.000551,0.000154,273,18,,KC994058
203..275,0.000405,0.000146,203,275,,
275..276,0.000405,0.461862,275,276,,
276..277,0.000405,0.000235,276,277,,
277..2,0.000405,0.000145,277,2,,JQ703852
277..3,0.000102,0.000073,277,3,,EU095215
276..12,0.000385,0.000141,276,12,,HG01866
275..278,0.000328,0.000129,275,278,,
278..279,0.000328,0.000134,278,279,,
279..280,0.000923,0.000190,279,280,,
280..281,0.000780,0.000177,280,281,,
281..4,0.000436,0.000156,281,4,,DQ372871
281..282,0.000436,0.000229,281,282,,
282..283,0.001167,0.000318,282,283,,
283..284,0.000434,0.000138,283,284,,
284..5,0.000656,0.000145,284,5,,JX900769
284..6,0.000546,0.000120,284,6,,KJ154487
283..285,0.000444,0.000120,283,285,,
285..7,0.000155,0.000104,285,7,,MF055755
285..8,0.000431,0.000115,285,8,,JX900738
282..9,0.000341,0.000108,282,9,,HQ873543
280..10,0.000495,0.000183,280,10,,AP008595
279..11,0.000495,0.000149,279,11,,AY519492
278..286,0.000383,0.000129,278,286,,
286..287,0.000734,0.000256,286,287,,
287..13,0.001437,0.000248,287,13,,KC521454
287..14,0.000893,0.000178,287,14,,AP008482
286..15,0.000623,0.000244,286,15,,KC994085
202..288,0.000623,0.000199,202,288,,
288..289,0.000471,0.000205,288,289,,
289..290,0.000396,0.000141,289,290,,
290..37,0.000347,0.000205,290,37,,111-1910-8495
290..291,0.000233,0.000167,290,291,,
291..292,0.000233,0.000129,291,292,,
292..38,0.000113,0.000085,292,38,,KX456435
292..39,0.000079,0.000075,292,39,,111-1919-0674
291..40,0.000079,0.000089,291,40,,KF849909
289..41,0.000347,0.000152,289,41,,111-1945-6527
288..293,0.000714,0.000151,288,293,,
293..294,0.000356,0.000113,293,294,,
294..295,0.000074,0.000053,294,295,,
295..296,0.000453,0.000170,295,296,,
296..297,0.000416,0.000154,296,297,,
297..298,0.000416,0.000192,297,298,,
298..299,0.000416,0.641407,298,299,,
299..300,0.000416,0.000324,299,300,,
300..46,0.000416,0.000324,300,46,,EU073971
300..47,0.000289,0.000137,300,47,,ERM088
299..301,49.366324,7.730290,299,301,,
